Unnamed: 0,CoFactor,CoFactorC,DTT,Inhibitor,NTPs,Plasmid,Ppase,Spermidine,T7,Temperature,Time,Tris-Hcl,Eval,Concentration
0,MgCl2,5.241684937,9.682149111,1242,3.225154038,40,7,1.249586403,34717,21,21,7.917089566,0.0,0.136638004
1,MgAcetate,82.62417736,2.514459592,1854,4.236027711,11,1,6.33744997,23062,42,119,7.480431711,1272.525,0.851820941
2,MgAcetate,59.99971417,7.093638542,829,8.569655749,61,10,2.651183921,7346,43,263,6.888450217,22567.26,12.81986174
3,MgCl2,36.47818832,0.181237684,410,7.324905836,86,3,9.472207506,46600,30,159,6.54967212,353.624,0.33538133
4,MgAcetate,98.2212016,4.048452023,629,3.422909988,17,8,9.934466779,22897,22,123,6.620546988,459.822,0.395066599
5,MgCl2,35.20199799,7.997153145,182,2.766626171,77,1,6.739072607,34114,43,22,6.814002145,2314.6,1.437486652
6,MgCl2,1.803625459,3.15318823,1157,5.126030174,90,4,4.852619354,42009,26,265,7.881029617,0.0,0.136638004
7,MgAcetate,84.86367267,1.986018408,1268,1.758357114,39,3,3.531419278,23370,33,237,7.054071734,0.0,0.136638004
8,MgAcetate,26.65410918,3.219107165,996,6.280422764,29,8,2.737380427,27293,46,253,7.716346215,359.792,0.338847862
9,MgAcetate,2.850794956,8.261118485,1371,5.344154908,53,9,9.253621881,11081,21,293,7.44054695,1117.892,0.764914292
10,MgAcetate,13.04844001,6.424687965,0,9.990337464,80,10,0.0,14581,50,300,7.105782137,0.0,0.136638004
11,MgAcetate,46.41965568,10.0,2000,10.0,10,10,10.0,1000,50,10,7.730361253,0.0,0.136638004
12,MgAcetate,63.29154235,10.0,0,6.328924627,100,10,0.0,1000,46,300,6.5,3852.664,2.301907492
13,MgCl2,61.77277716,2.541976063,1875,10.0,69,1,3.392944741,35997,43,168,6.954304193,543.894,0.442316641
14,MgAcetate,61.21969576,9.77660456,1107,1.0,11,10,0.0,1735,21,300,7.966026069,0.0,0.136638004
15,MgAcetate,61.83837553,10.0,0,10.0,100,10,10.0,1000,28,300,6.5,0.0,0.136638004
16,MgCl2,100.0,7.225020373,1701,8.615446867,100,0,10.0,15036,20,196,6.5,566.378,0.454953071
17,MgCl2,100.0,0.281883887,1892,8.619324154,10,10,8.230802595,46640,20,175,7.701226507,573.978,0.459224414
18,MgAcetate,100.0,4.473102507,2000,8.503042697,48,0,10.0,30245,34,10,6.5,1459.731,0.957034227
19,MgCl2,82.11354404,1.346818878,1695,8.525495598,27,0,9.830935089,36946,26,10,7.136603493,345.994,0.331093127
20,MgAcetate,40.0,5.0,1000,7.5,40,1,1.0,7000,37,240,8.0,13207.1155,7.559284831
21,MgCl2,40.92534242,10.0,1069,1.31453157,12,10,10.0,7792,43,112,6.5,0.0,0.136638004
22,MgAcetate,6.373133006,3.418002815,0,10.0,32,6,0.0,7605,42,275,7.72635532,0.0,0.136638004
23,MgCl2,100.0,4.4930973,1677,4.277550287,100,1,2.097981488,7548,43,173,7.80015328,457.251,0.393621649
24,MgCl2,10.50496892,10.0,139,3.949000307,64,10,4.365867002,7559,43,242,7.035746986,0.0,0.136638004
25,MgAcetate,100.0,4.473102507,2000,8.503042697,48,0,10.0,30245,34,263,6.5,1459.731,0.957034227
26,MgCl2,35.20199799,7.997153145,182,2.766626171,77,1,6.739072607,10000,43,263,6.814002145,2314.6,1.437486652
27,MgAcetate,38.75455393,9.698851554,1198,5.755813478,95,4,0.004160254,46825,37,36,6.882583594,6072.175,3.549314337
28,MgAcetate,24.56629187,7.690384156,1996,5.468494917,61,10,2.4514432,14699,48,32,6.574588072,0.0,0.136638004
29,MgAcetate,30.15361446,10.0,2000,5.471487986,51,10,3.59e-05,6411,50,44,6.579326207,0.0,0.136638004
